id,prospect_id,isnewleadprimary,assigned_to_user_id,position_role_id,leadid,name1,name2,email1,email2,mobile1,mobile2,landline1,landline2,camp_name,camp_id,reason,lastcalldate,cool_off_flag,cool_off_timestamp,is_member,product_id,interested,dnc_flag,is_active_lead_primary,hfrp_id,type_of_lead,handheld,qualified,qualified_at,qma_date,qma_flag,sms_confirmed,refer_id,age_group,offer,active_lead_id,web_data_source,city,data_collt_date,lead_stage,pullpushflag,status,lead_score,lead_status,lead_call_status,is_active,reason_for_interested,reason_for_followup,reason_for_qualified,callback_date,app_date,venue_list,app_address,app_location,pincode,remark,no_of_calls,no_of_call_attempts,landmark,sales_owner,marital_status,car_model,car_make,campaign_sub_type,price_bracket,occupation,last_call_date,promoter_name,promoter_agency,owner_user_id,keyword,placement,event_string,mobile_device,time_spent,os,concatenated_string,voucher_no,coupon_status,coupon_gen_date,voucher_valid_upto,car_make1,car_model1,car_make2,car_model2,type,team,calldisabled,opc_level_info,data_collection_date,preferredTime,prospectcity,prospectcountry,cardtype,frequentflyer,doyouownacar,daysholidaysinayr,adv_holiday_planned,refersourceId,datasource,source,mobiledevice,concatstring,lead_control_location,excel_type,is_web,is_excel,is_opportunity,opportunity_id,ib_lead_id,preferred_communication,preferred_day,preferred_time,device,response_coupon_no,web_accessed_from,device_serial_no,guest_member_flag,hep_member_id,lead_generated_user_2,no_of_times_leads_created,HFRP_referred_by,reason_for_rejection,reason_for_inactivation,cool_off_end_date,hep_average_rating,fresh_lead,hep_checkin_date,cooloff_end_date,referred_prospect_first_name,hep_source_name,hfrp_member_id,lead_generated_user_1,prname,reason_rej_inactive,is_segment,reason_id,created_at,created_by,updated_by,updated_at,track_record_id,is_customer
1,P-k6qilq11ct,Y,NULL,147,L-po69ytjkke,Vizo Liezle test,NULL,NULL,NULL,9436005555,NULL,NULL,NULL,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,3,NULL,L-po69ytjkke,NULL,13,NULL,NULL,pull,Active,NULL,20,4,Y,NULL,NULL,NULL,6/14/2018 0:00,NULL,NULL,NULL,1,111111,NULL,NULL,NULL,NULL,82,2,NULL,NULL,NULL,NULL,7,NULL,123,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,145,0,0,NULL,NULL,NULL,123,NULL,NULL,237,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,4,NULL,4,Y,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11/19/2018 12:38,NULL,NULL,11/19/2018 12:38,,Y
2,P-pdhmjki3hm,Y,NULL,NULL,L-fm3l2a005i,manish,,manish@gmail.com,,8767543456,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,7,NULL,L-qo0rp3bgwj,NULL,358,NULL,No Stage,pull,Active,0.0015,9,1,Y,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,358,,,,,,NULL,CX,Web Form,,,,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,,NULL,11/19/2018 15:55,NULL,NULL,11/19/2018 15:55,,Y
3,P-9kermqje9r,Y,NULL,NULL,L-1rep8bu067,rr rr,,testedfinalweb@gmail.com,,4345345678,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,3,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-t1ucy1mtkf,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,Web Form,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,I,,3,11/19/2018 15:58,NULL,NULL,11/20/2018 16:27,,Y
4,P-raafdkusgf,Y,NULL,NULL,L-c4rgwyizqz,Shrikant,wadkar,shrikant.wadkar@test.com,,8007788973,,,,Jul 2018 PRO Engagement Test Chennai,2,7,NULL,Y,11/20/2018 11:47,N,NULL,Y,N,Y,NULL,,Y,Y,NULL,NULL,N,Y,NULL,2,10,L-8mt8e5tjg9,,NULL,NULL,,push,Active,0.00126,16,2,,0,0,0,NULL,0000-00-00 00:00:00,NULL,,,,,2,2,,0,1,155,14,0,0,5,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,N,NULL,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,R,,7,0000-00-00 00:00:00,0,1,11/20/2018 11:47,,Y
5,P-jmisou160u,Y,NULL,NULL,L-jhce4j4k5l,Test1,,test@test.com,,8765456779,,,,Jan 2017 PRO Bliss Leads Pune Pune,1,NULL,NULL,N,NULL,N,NULL,Y,N,Y,NULL,,Y,Y,NULL,NULL,N,Y,NULL,1,5,L-kgv0r7125y,,8,NULL,Hot,pull,Active,0.02078,19,2,N,0,0,0,NULL,11/20/2018 11:43,NULL,pune,2,45678,,1,1,pune,0,2,69,16,0,0,4,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,N,NULL,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,1,11/21/2018 5:30,,Y
6,P-9sa1m8i14p,Y,NULL,NULL,L-q9tstl5pzm,manish,,manish.gupta@mahindraholidays.com,,7987196772,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,NULL,NULL,N,NULL,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,4,9,L-h69ql6o9mv,,NULL,NULL,,pull,Active,0,19,2,N,0,0,0,NULL,11/20/2018 11:42,1,gfg,1,65432,,2,2,trfe,0,2,189,5,0,0,4,11/20/2018 0:00,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,,NULL,,,,,,,,,,NULL,CX,,,,,0,0,1,NULL,N,NULL,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,0,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,1,11/21/2018 5:30,,Y
7,P-m91wzrc7nw,Y,NULL,NULL,L-l1oosuryaz,rr rr,,123@gmail.com,,4341245678,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,7,NULL,Y,3/31/1970 23:59,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,6,NULL,L-o2srwjboj4,NULL,292,NULL,No Stage,pull,Active,0.00142,9,1,N,0,0,0,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0000-00-00 00:00:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,NULL,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,Web Form,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,R,,7,11/19/2018 16:49,NULL,NULL,11/20/2018 15:28,,Y
8,P-syppdfosj9,Y,NULL,126,L-iog7m3t22p,darshan P,,,,9096286063,,,,Jul 2018 PRO Bank Primary Chennai,52,NULL,NULL,N,NULL,N,NULL,N,N,Y,213,PRO,N,N,NULL,NULL,N,N,NULL,3,2,L-jn4ffwv26l,,8,NULL,Warm,push,Active,0.01083,20,4,N,0,0,0,NULL,11/28/2018 18:00,2,asdf,,12345,,3,1,asdf,82,2,139,17,0,0,2,11/20/2018 0:00,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,0,0,NULL,NULL,Y,91,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,NULL,,NULL,0000-00-00 00:00:00,0,64,11/21/2018 5:30,,Y
9,P-9kermqje9r,Y,NULL,NULL,L-81mq6euod7,rr rr,,testedfinalweb@gmail.com,,4345345678,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,7,NULL,Y,3/31/1970 23:59,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,,,L-1rep8bu067,,NULL,NULL,,pull,Rejected,0,16,2,N,0,0,0,NULL,0000-00-00 00:00:00,0,,,,,1,1,,0,,0,0,0,0,0,11/20/2018 0:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,R,,7,0000-00-00 00:00:00,0,1,11/20/2018 16:45,,Y
10,P-9kermqje9r,Y,NULL,NULL,L-chph9jfjcy,rr rr,,testedfinalweb@gmail.com,,4345345678,,,,Jul 2018 Advertisement ERP Mumbai Vashi,12,3,NULL,Y,11/20/2018 16:44,N,NULL,N,N,Y,NULL,NULL,N,N,NULL,NULL,N,N,NULL,1,10,L-1rep8bu067,,4,NULL,Cold,pull,Rejected,0.01753,19,2,N,0,0,0,NULL,11/20/2018 16:44,1,pune,,4567,,3,1,pune,0,2,157,14,0,0,3,11/20/2018 0:00,,,NULL,NULL,rr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,0,0,NULL,,NULL,,,,292,,,,No,rr,NULL,Bliss-Join,,rr,rr,rr,0,0,1,NULL,N,NULL,NULL,,,,NULL,,,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0000-00-00,NULL,,,NULL,,NULL,I,,3,0000-00-00 00:00:00,0,1,11/20/2018 16:45,,Y
